：	;_
；	;2
：“	;q
？	;w
（	;e
）	;r
\t	;t
《	;y
》	;u
！	;a
……	;s
·	;g
“	;z
→	;x
”	;c
——	;v
@	;m
啊	a_
安	an_
案	anb_
爱	ai_
阿	aa_
奥	ao_
岸	ane_
澳	aod_
埃	ait_
艾	aic_
碍	aiuc
癌	aib_
暗	ano_
昂	ah_
傲	aor_
鞍	angn
哀	aiw_
氨	anq_
挨	aif_
俺	anr_
熬	aof_
矮	aiu_
凹	aol_
盎	ahy_
胺	anon
隘	aie_
鳌	aofa
铵	anj_
谙	any_
庵	ang_
蔼	aicv
敖	aofw
腌	aao_
黯	anh_
遨	aoz_
唉	aik_
鏖	aog_
袄	aop_
皑	aibj
哎	aikx
坳	aot_
翱	aob_
嗷	aok_
肮	aho_
拗	aofl
懊	aox_
岙	aoy_
鹌	and_
霭	aiy_
螯	aofi
骜	aofm
暧	aio_
桉	anm_
嫒	ain_
獒	aofq
嗳	aiky
鏊	aofj
吖	aak_
瑷	aiwy
埯	ant_
锕	aaj_
嗌	aikm
媪	aon_
廒	aogw
聱	aofe
锿	aij_
砹	aiux
卬	ahp_
叆	aiey
毐	aiuw
唵	ank_
垵	antn
𩽾	ana_
盦	anrm
璈	aow_
奡	aoa_
隩	aoe_
安全	aq_
按照	av_
安排	ap_
按错	ac_
按时	au_
安静	aj_
昂贵	ag_
按到	ad_
安慰	aw_
爱惜	ax_
安保	ab_
安分	af_
拗口	ak_
按理	al_
黯然	ar_
暗算	as_
凹凸	at_
安逸	ay_
暗自	az_
暧昧	am_
挨饿	ae_
阿爸	aaba
阿伯	aabo
傲岸不群	aabq
皑皑白雪	aabx
嗷嗷待哺	aadb
安安分分	aaff
哀哀父母	aafm
阿哥	aage
阿公	aags
啊哈	aaha
阿訇	aahs
暗暗称奇	aaiq
阿姐	aajp
安安静静	aajj
阿拉	aala
阿妹	aamw
阿妈	aama
阿曼	aamj
阿门	aamf
阿婆	aapo
矮矮胖胖	aapp
安安全全	aaqq
暗暗祈祷	aaqd
阿嚏	aati
AA制	aav_
安安稳稳	aaww
阿姨	aayi
啊呀	aaya
啊哟	aayo
哀哀欲绝	aayj
安安逸逸	aayy
安安心心	aaxx
腌臜	aaza
暗暗咂舌	aazu
爱不爱	aba_
安不安全	abaq
安不安逸	abay
按兵不动	abbd
哀兵必胜	abbu
安邦定国	abdg
安步当车	abdi
阿鼻地狱	abdy
熬不过	abg_
熬不过去	abgq
阿布哈兹	abhz
矮半截	abj_
按部就班	abjb
阿波罗	abl_
埃博拉	abla
爱别离苦	ablk
鞍不离马	ablm
爱兵如子	abrz
爱不释手	abuu
熬不住	abv_
阿布扎比	abvb
阿布扎哈	abvh
安邦治国	abvg
按错了	acl_
昂藏七尺	acqi
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acuj
暗藏玄机	acxj
爱搭不理	adbl
安道尔	ade_
