冰冻三尺，非一日之寒	uuds
司马昭之心，路人皆知	vehr
以眼还眼，以牙还牙	atmo
城门失火，殃及池鱼	deeo
三天打鱼，两天晒网	dfjw
丈二和尚摸不着头脑	eotx
失之毫厘，谬以千里	evtl
天下没有白吃的午餐	fffh3
一波未平，一波又起	ffoi
一言既出，驷马难追	fure
一人得道，鸡犬升天	fuyf
当一天和尚撞一天钟	gffi
社会主义现代化建设	guyv2
星星之火，可以燎原	hhvc
项庄舞剑，意在沛公	hkgn
近朱者赤，近墨者黑	hnui
明修栈道，暗度陈仓	hosu
搬起石头砸自己的脚	jigx
庆父不死，鲁难未已	kims
做一天和尚撞一天钟	lffi
仁者见仁，智者见智	luwr
不入虎穴，焉得虎子	mgan
不经一事，不长一智	mqfr
差以毫厘，失之千里	natl
靠山吃山，靠水吃水	nnkx
成事不足，败事有余	pimu
成也萧何，败也萧何	pjml
第三次国内革命战争	rduc
放下屠刀，立地成佛	rfxl
百花齐放，百家争鸣	rmik
第二次国内革命战争	rouc
百尺竿头，更进一步	rxrq
千里之行，始于足下	slvf
千里之堤，溃于蚁穴	slvt
头痛医头，脚痛医脚	tayx
种瓜得瓜，种豆得豆	tbyi
人为刀俎，我为鱼肉	uiow
螳螂捕蝉，黄雀在后	uujb
皮之不存，毛将焉附	uvmp
人同此心，心同此理	uwqb
同声相应，同气相求	wiqc
万事俱备，只欠东风	xila
国际奥林匹克委员会	ypgu3
十目所视，十手所指	ytbj
鹬蚌相争，渔人得利	yuqt
半路杀出个程咬金	aahq
以经济建设为中心	aqfq
癞蛤蟆想吃天鹅肉	auuw
一个萝卜一个坑儿	fums
巧妇难为无米之炊	hdod
中央人民广播电台	jgul
中国特色社会主义	jyol
中国人民保险公司	jyuv
新疆维吾尔自治区	opqy2
和平共处五项原则	tcpw
比上不足比下有余	twmu
人民代表大会制度	uilk
全国人民代表大会	uyuu
青出于蓝而胜于蓝	vijm2
坚持四项基本原则	vjyw
尽信书则不如无书	xlee
车到山前必有路	agna
车尔尼雪夫斯基	apxn2
曾经沧海难为水	aqfx
病树前头万木春	asxu
后天下之乐而乐	bffj2
干打雷，不下雨	bjuk
反厄尔尼诺现象	blpv
竹篮打水一场空	brjt
多行不义必自毙	bymt
解铃还须系铃人	cimu
眉毛胡子一把抓	dkrj
女子无才便是德	dnfy
赤橙黄绿青蓝紫	dspq
三过其门而不入	dung
死猪不怕开水烫	eemf2
长江后浪推前浪	efbf
狗嘴吐不出象牙	ekko
有缘千里来相会	eqsu2
马克思列宁主义	erol2
有情人终成眷属	etux
有过之而无不及	euvm
布宜诺斯艾利斯	ewvn
一朝天子一朝臣	fafh3
画虎不成反类犬	famj2
一失足成千古恨	fekr
澳门特别行政区	feoy2
天下乌鸦一般黑	ffci
一石激起千层浪	fgff
沉舟侧畔千帆过	fglu2
一年之计在于春	fgvu
一日之计在于晨	fhvh2
无事不登三宝殿	fimx
一不做，二不休	fmll
酒逢知己千杯少	fmry
浪子回头金不换	fnyj
天生我材必有用	fowr
无可奈何花落去	fqnd
一而再，再而三	frpd
一个萝卜一个坑	fumd
一个巴掌拍不响	fumk
一寸光阴一寸金	fupq
神龙见首不见尾	gewx
石油输出国组织	gfaq
船到桥头自然直	ggsa2
小不忍则乱大谋	gmov
盎格鲁撒克逊人	gsou
奥林匹克运动会	gxyu
功夫不负有心人	hemu
工商行政管理局	hgyj
氢离子浓度指数	hpnc
最高人民检察院	htup2
近水楼台先得月	hxsx
承包经营责任制	icqn
良药苦口利于病	imma
这山望着那山高	inut
黑云压城城欲摧	iylj
中华全国总工会	jbuu
中华人民共和国	jbuy
按下葫芦浮起瓢	jfmh
打一巴掌揉三揉	jfmj
挟天子以令诸侯	jfnl2
打破沙锅问到底	jgfk2
旧民主主义革命	jiyu
中共中央总书记	jpjf2
拒人于千里之外	jujb
忠言逆耳利于行	juxy
批评与自我批评	jvfv2
打开天窗说亮话	jyfv
中国社会科学院	jygp
中国大百科全书	jyne
中国人民解放军	jyur
中国少年先锋队	jyyp
羊毛出在羊身上	kkiw
广西壮族自治区	klay
磨刀不误砍柴工	komh
远水救不了近火	kxcd
远水解不了近渴	kxcf
偷鸡不着蚀把米	lomc
西非经济共同体	lwql
英雄无用武之地	mefd3
敬酒不吃吃罚酒	mfmf2
不到黄河心不死	mgpe
身在曹营心在汉	mkff
芝麻开花节节高	mkyt2
不管三七二十一	mrdf
巴黎统筹委员会	mtqu
各人自扫门前雪	mueu2
不敢越雷池一步	mviq
不见棺材不落泪	mwsf
山重水复疑无路	ndxa
先天下之忧而忧	nffr
饱汉不知饿汉饥	nfmn
牵一发而动全身	nfwm2
山雨欲来风满楼	nkns
新民主主义革命	oiyu
刀子嘴，豆腐心	onkq
男儿有泪不轻弹	osep
置之死地而后生	oveo3
置之死地而后快	over
新官上任三把火	owwd2
强将手下无弱兵	payo
两耳不闻窗外事	pcmi
共产主义青年团	pgyy
此地无银三百两	qdfp
心有余而力不足	qeuk
心有灵犀一点通	qeuo
经济技术开发区	qfjy
丁是丁，卯是卯	qsqx
老虎屁股摸不得	raxy
笔记本式计算机	rfss
第一次世界大战	rfum
第二次世界大战	roum
放之四海而皆准	rvyu
六一国际儿童节	sfym
柳暗花明又一村	shms2
横挑鼻子竖挑眼	sjet
树欲静而风不止	snvq
香港特别行政区	tfoy
情人眼里出西施	tutu
资产阶级自由化	ugpb
人民英雄纪念碑	uimg
人贵有自知之明	ujeh
人心不足蛇吞象	uqmv
寸金难买寸光阴	uqop
人怕出名猪怕壮	uria2
众人拾柴火焰高	uujt
识时务者为俊杰	vhms
敢把皇帝拉下马	vjde
兔子尾巴长不了	vnxi
计算机断层扫描	vrsj
计算机层析成像	vrsl
肾上腺皮质激素	vwxv2
冒天下之大不韪	wffs
上梁不正下梁歪	wfmm
赔了夫人又折兵	wieo2
醉翁之意不在酒	wnvf2
宰相肚里好撑船	wqxg
宁夏回族自治区	wryy
万丈高楼平地起	xeti
屋漏偏逢连夜雨	xflk
胜败乃兵家常事	xwbi
胳膊拧不过大腿	xxjx
胳膊肘儿朝外拐	xxxj
得来全不费功夫	ycue2
彼一时，此一时	yfhh
欧洲经济共同体	yfql
四海之内皆兄弟	yfva2
十一届三中全会	yfxu
初生牛犊不怕虎	yoca
国际日期变更线	yphq2
国际标准交谊舞	ypsg
国际标准化组织	ypsq
国际劳动妇女节	yptm2
行百里者半九十	yrly
国家计划委员会	ywvu
国家医药管理局	ywyj
风马牛不相及	aecm
以天下为己任	affl3
以不变应万变	amnn2
真金不怕火炼	aqmd
加利福尼亚州	atgi
总悬浮颗粒物	avfo
化干戈为玉帛	bbxd
外商投资企业	bgjr
化腐朽为神奇	bksn
反其道而行之	bngv
理论联系实际	bvcp2
匀速圆周运动	cbyy
巾帼不让须眉	ccmd
平均期望寿命	cdnu
原子质量单位	cnbl
联合国安理会	cpyu2
帕金森综合征	cqsy
牛头不对马嘴	ctmk
求人不如求己	cumt
数字视频光盘	cwgg
乌兹别克斯坦	cxkd
三句不离本行	dcmy
