工	a_
了	b_
以	c_
在	d_
有	e_
地	f_
一	g_
上	h_
不	i_
是	j_
中	k_
国	l_
同	m_
民	n_
为	o_
这	p_
我	q_
的	r_
要	s_
和	t_
产	u_
发	v_
人	w_
经	x_
主	y_
式	aa_
节	ab_
芭	ac_
基	ad_
菜	ae_
革	af_
七	ag_
牙	ah_
东	ai_
划	aj_
或	ak_
功	al_
贡	am_
世	an_
蒌	ao_
芝	ap_
区	aq_
匠	ar_
苛	as_
攻	at_
燕	au_
切	av_
共	aw_
药	ax_
芳	ay_
陈	ba_
子	bb_
取	bc_
承	bd_
阴	be_
际	bf_
卫	bg_
耻	bh_
孙	bi_
阳	bj_
职	bk_
阵	bl_
出	bm_
也	bn_
耿	bo_
辽	bp_
隐	bq_
孤	br_
阿	bs_
降	bt_
联	bu_
限	bv_
队	bw_
陛	bx_
防	by_
戏	ca_
邓	cb_
双	cc_
参	cd_
能	ce_
对	cf_
骊	cg_
骒	cj_
台	ck_
劝	cl_
观	cm_
马	cn_
驼	cp_
允	cq_
牟	cr_
骠	cs_
矣	ct_
骈	cu_
艰	cv_
难	cw_
驻	cy_
左	da_
顾	db_
友	dc_
大	dd_
胡	de_
夺	df_
三	dg_
丰	dh_
砂	di_
百	dj_
右	dk_
历	dl_
面	dm_
成	dn_
灰	do_
达	dp_
克	dq_
原	dr_
厅	ds_
帮	dt_
磁	du_
肆	dv_
春	dw_
龙	dx_
太	dy_
肛	ea_
服	eb_
肥	ec_
须	ed_
朋	ee_
肝	ef_
且	eg_
胩	eh_
膛	ei_
胆	ej_
肿	ek_
肋	el_
肌	em_
甩	en_
膦	eo_
爱	ep_
胸	eq_
遥	er_
采	es_
用	et_
胶	eu_
妥	ev_
脸	ew_
脂	ex_
及	ey_
载	fa_
地	fb_
支	fc_
城	fd_
圾	fe_
寺	ff_
二	fg_
直	fh_
示	fi_
进	fj_
吉	fk_
协	fl_
南	fm_
志	fn_
赤	fo_
过	fp_
无	fq_
垢	fr_
霜	fs_
才	ft_
增	fu_
雪	fv_
夫	fw_
坳	fx_
坟	fy_
开	ga_
屯	gb_
到	gc_
天	gd_
表	ge_
于	gf_
五	gg_
下	gh_
不	gi_
理	gj_
事	gk_
画	gl_
现	gm_
与	gn_
来	go_
琮	gp_
列	gq_
珠	gr_
末	gs_
玫	gt_
平	gu_
妻	gv_
珍	gw_
互	gx_
玉	gy_
虎	ha_
皮	hc_
睚	hd_
肯	he_
睦	hf_
睛	hg_
止	hh_
步	hi_
旧	hj_
占	hk_
卤	hl_
贞	hm_
卢	hn_
眯	ho_
瞎	hp_
餐	hq_
睥	hr_
盯	hs_
睡	ht_
瞳	hu_
眼	hv_
具	hw_
此	hx_
眩	hy_
江	ia_
池	ib_
汉	ic_
尖	id_
肖	ie_
法	if_
汪	ig_
小	ih_
水	ii_
浊	ij_
澡	ik_
渐	il_
没	im_
沁	in_
淡	io_
学	ip_
光	iq_
泊	ir_
洒	is_
少	it_
洋	iu_
当	iv_
兴	iw_
涨	ix_
注	iy_
虹	ja_
最	jb_
紧	jc_
晨	jd_
明	je_
时	jf_
量	jg_
早	jh_
晃	ji_
昌	jj_
蝇	jk_
曙	jl_
遇	jm_
电	jn_
显	jo_
晕	jp_
晚	jq_
蝗	jr_
果	js_
昨	jt_
暗	ju_
归	jv_
蛤	jw_
昆	jx_
景	jy_
呀	ka_
啊	kb_
吧	kc_
顺	kd_
吸	ke_
叶	kf_
呈	kg_
中	kh_
吵	ki_
虽	kj_
吕	kk_
另	kl_
员	km_
叫	kn_
噗	ko_
喧	kp_
史	kq_
听	kr_
呆	ks_
呼	kt_
啼	ku_
哪	kv_
只	kw_
哟	kx_
嘛	ky_
轼	la_
囝	lb_
轻	lc_
因	ld_
胃	le_
轩	lf_
车	lg_
四	lh_
辊	lj_
加	lk_
男	ll_
轴	lm_
思	ln_
辚	lo_
边	lp_
罗	lq_
斩	lr_
困	ls_
力	lt_
较	lu_
轨	lv_
办	lw_
累	lx_
罚	ly_
曲	ma_
邮	mb_
凤	mc_
央	md_
骨	me_
财	mf_
同	mg_
由	mh_
峭	mi_
则	mj_
迥	mk_
崭	ml_
册	mm_
岂	mn_
赕	mo_
迪	mp_
风	mq_
贩	mr_
朵	ms_
几	mt_
赠	mu_
内	mw_
嶷	mx_
凡	my_
民	na_
敢	nb_
怪	nc_
居	nd_
导	nf_
怀	ng_
收	nh_
悄	ni_
慢	nj_
避	nk_
惭	nl_
届	nm_
忆	nn_
屡	no_
忱	np_
懈	nq_
怕	nr_
怵	ns_
必	nt_
习	nu_
恨	nv_
愉	nw_
尼	nx_
心	ny_
煤	oa_
籽	ob_
烃	oc_
类	od_
粗	oe_
灶	of_
业	og_
粘	oh_
炒	oi_
烛	oj_
炽	ok_
烟	ol_
灿	om_
断	on_
炎	oo_
迷	op_
炮	oq_
煌	or_
灯	os_
烽	ot_
料	ou_
娄	ov_
粉	ow_
糨	ox_
米	oy_
宽	pa_
字	pb_
害	pd_
家	pe_
守	pf_
定	pg_
寂	ph_
宵	pi_
审	pj_
宫	pk_
军	pl_
宙	pm_
官	pn_
灾	po_
之	pp_
宛	pq_
宾	pr_
宁	ps_
客	pt_
实	pu_
安	pv_
空	pw_
它	px_
社	py_
氏	qa_
凶	qb_
色	qc_
