艾	aiz · ⺾ 乂
傲	aox · 亻 攵
岸	anp · 山 干
哀	aii · 亠 4
挨	aij · ⺘ 大
碍	ait · 石 寸
矮	aie · 卧人 女
熬	aoa · 龶 灬
埃	aig · 土 大
嗷	aoo · 口 攵
黯	ann · 囗 音
俺	anx · 亻 电
凹	aop · 2 1
懊	aon · 忄 大
袄	aoh · ⻂ 大
暧	aiv · 日 又
庵	anr · 广 电
澳	aok · ⺡ 大
隘	aib · 阝 皿
癌	aim · 疒 山
肮	ahl · 月 几
桉	anw · 木 女
盎	ahp · 2 皿
皑	ais · 白 己
坳	aog · 土 力
谙	anc · 讠 音
鏖	aor · 广 1
翱	aos · 白 习
拗	aoj · ⺘ 力
犴	anb · ⺨ 干
霭	aiy · 雨头 5
胺	anl · 月 女
铵	and · 钅 女
奡	aod · 1 2
氨	ans · 气 女
吖	aao · 口 2
唵	ano · 口 电
媪	aoy · 女 皿
叆	aiu · 二 又
欸	aip · 厶 人
腌	aal · 月 电
瑷	aia · 王 又
卬	ahu · 3 卩
锕	aad · 钅 可
埯	ang · 土 电
按	anj · ⺘ 女
昂	ahv · 日 卩
爱	aih · ⺤ 又
盦	ane · 全字头 皿
薁	aoz · ⺾ 大
锿	aid · 钅 4
阿	aab · 阝 可
隩	aob · 阝 大
媕	any · 女 2
奥	ao · 3 大
啊	a · 口 可
暗	anv · 日 音
安	ani · 宀 女
哎	ai · 口 乂
唉	aio · 口 大
毐	aigd · 士 1
鞍	anvy · 廿 女
廒	aorj · 广 攵
案	aniw · 宀 木
敖	aoaj · 龶 攵
璈	aoaj · 王 攵
蔼	aizr · ⺾ 5
骜	aoaz · 龶 马
遨	aoaq · 龶 辶
鳌	aoaq · 龶 鱼
鹌	anxc · 大 鸟
螯	aoaf · 龶 虫
嗳	aiol · 口 又
鏊	aoad · 龶 1
嫒	aiyl · 女 又
聱	aoau · 龶 三
嗌	aiod · 口 皿
垵	angy · 土 女
嶅	aoap · 龶 山
砹	aity · 石 乂
岙	aoup · 3 山
捱	aijg · ⺘ 土
獒	aoab · 龶 犬
垇	aogd · 土 1
揞	anjv · ⺘ 音
啱	anot · 口 石
鿫	aosx · 气 大
咹	anoy · 口 女
半	bjf · 丷 十
步	bur · 止 3
般	bjt · 舟 又
备	bwj · 夂 田
兵	bku · 3 八
保	bcx · 亻 木
包	bcu · 3 巳
布	bus · 左字框 巾
板	bjw · 木 又
巴	bat · 巴 巴
爆	bct · 火 ⺢
冰	bkf · 冫 水
摆	bdj · ⺘ 厶
抱	bcj · ⺘ 巳
暴	bcv · 日 ⺢
曝	bcv · 日 ⺢
病	bkm · 疒 人
标	bnw · 木 八
败	bdm · 贝 攵
班	bja · 王 王
斑	bja · 王 王
伯	box · 亻 白
补	buh · ⻂ 4
罢	baa · ⺫ 厶
杯	bww · 木 4
奔	bfx · 大 2
伴	bjx · 亻 十
霸	bay · 雨头 月
陛	bib · 阝 土
膀	bhl · 月 方
拔	baj · ⺘ 4
鼻	bis · 自 2
倍	bwx · 亻 口
捕	buj · ⺘ 4
贝	bwm · 贝 贝
币	biu · 3 巾
脖	bol · 月 子
编	bme · ⺰ 扁字心
柄	bkw · 木 人
邦	bhu · 三 阝
彼	bih · 彳 又
饱	bcg · ⺈ 巳
镖	bnd · 钅 八
绑	bhe · ⺰ 阝
卑	bws · 白 十
憋	bpf · 丷 心
鞭	bmv · 廿 乂
玻	boa · 王 又
碑	bwt · 石 十
辨	bmb · 立 3
辩	bmb · 立 讠
辫	bmb · 立 ⺰
卜	bup · 2 4
禀	bki · 亠 八
绷	bge · ⺰ 月
蔽	biz · ⺾ 攵
笨	bfn · 竹头 1
饼	bkg · ⺈ 2
庇	bir · 广 匕
狈	bwb · ⺨ 贝
胞	bcl · 月 巳
泊	bok · ⺡ 白
婢	biy · 女 十
迸	bgf · 丷 辶
呗	bwo · 口 贝
斌	bbj · 文 止
彬	bbw · 木 3
疤	bam · 疒 巴
傍	bhx · 亻 方
飙	bnb · 犬 乂
彪	bnp · 2 3
弊	bif · 丷 2
瓣	bjb · 立 横两点
柏	bdw · 木 白
磅	bht · 石 方
绊	bje · ⺰ 十
靶	bav · 廿 巴
瘪	bpm · 疒 匕
炳	bkt · 火 人
礴	bot · 石 寸
痹	bim · 疒 2
滨	bbk · ⺡ 八
蝙	bmf · 虫 扁字心
贬	bmm · 贝 4
坂	bjg · 土 又
匾	bmd · 1 扁字心
钵	bod · 钅 1
鬓	bbd · 1 八
镔	bbd · 钅 八
镑	bhd · 钅 方
甭	bgd · 1 十
裱	bnh · ⻂ 4
簸	bon · 竹头 又
丙	bkd · 1 人
贲	bfs · 十 贝
芭	baz · ⺾ 巴
嘣	bgo · 口 月
魃	bas · 鬼 4
坝	bag · 土 贝
堡	bux · 亻 土
孢	bca · 子 巳
摒	bkj · ⺘ 2
汴	bmk · ⺡ 4
婊	bny · 女 4
哺	buo · 口 4
卟	buo · 口 4
悖	bwn · 忄 子
啵	boo · 口 又
臂	bwq · 尸 青字底
骠	bnz · 马 八
粑	bal · 米 巴
缤	bbe · ⺰ 八
谤	bhc · 讠 方
雹	bcy · 雨头 巳
剥	bcs · ⼹ ⺉
殡	bbf · 歹 八
笆	ban · 竹头 巴
泵	bgt · 石 水
膘	bnl · 月 八
灞	bak · ⺡ 月
褓	bch · ⻂ 木
亳	boi · 亠 七
濞	bik · ⺡ 2
俾	bix · 亻 十
埠	bug · 土 十
苯	bfz · ⺾ 1
蓓	bwz · ⺾ 口
瘢	bjm · 疒 又
被	bwh · ⻂ 又
煸	bmt · 火 扁字心
浜	bhk · ⺡ 八
犇	bfb · 牛 牛
枹	bcw · 木 巳
钡	bwd · 钅 贝
钣	bjd · 钅 又
傧	bbx · 亻 八
钯	bad · 钅 巴
岜	bap · 山 巴
弁	bmp · 厶 2
豳	bbp · 山 4
髀	bic · 骨 十
髌	bbc · 骨 八
膑	bbl · 月 八
畚	bfp · 厶 田
蒡	bhz · ⺾ 方
锛	bfd · 钅 2
熛	bnt · 火 八
坌	bff · 八 土
摽	bnj · ⺘ 八
部	bub · 立 阝
舭	bit · 舟 匕
袯	boh · ⻂ 4
鞴	bwv · 廿 十
便	bmx · 亻 乂
别	bpo · 口 ⺉
塝	bhg · 土 方
宾	bbi · 宀 八
屏	bkq · 尸 2
崩	bgp · 山 月
抃	bmj · ⺘ 4
搒	bhj · ⺘ 方
昄	bjv · 日 又
昺	bkv · 日 人
晡	buv · 日 4
本	bfw · 木 1
湴	bjk · ⺡ 1
瀌	bnk · ⺡ 灬
瀑	bck · ⺡ ⺢
玢	bba · 王 刀
