戔	aaaa · 
淺	aaaa · 
剗	aaaj · 
𣵝	aaal · 
㳀	aaao · 
𬉰	aaao · 
𬉉	aaas · 
𣶔	aab · 
𣴘	aacd · 
𤿺	aacf · 
𣸂	aacg · 
虦	aach · 
㴺	aach · 
𩴨	aacm · 
波	aaco · 氵皮
𭱷	aacu · 
𥇲	aadm · 
𭰿	aadv · 
涏	aadx · 
㵛	aae · 
𠥩	aafa · 
𤀪	aafm · 
淇	aafo · 氵其
㴣	aafy · 
𬈱	aafy · 
𣴛	aag · 
𮋇	aahh · 
㨇	aaht · 
戈	aai · 戈丶
𣻺	aaif · 
𪣭	aaif · 
濝	aaih · 
𣼁	aaii · 
𫅓	aaii · 
𣴤	aain · 
洋	aaio · 氵羊
𠥓	aaj · 
划	aaja · 戈刂
剘	aajf · 
㵉	aajf · 
𠚩	aajl · 
㓟	aajv · 
㴢	aak · 
㶙	aakl · 
㳦	aald · 
𪵷	aalg · 
𣱶	aalo · 
㵜	aalr · 
㶃	aalx · 
𣺸	aami · 
𧶤	aamm · 
𩜥	aanc · 
淢	aanf · 
𤁭	aanl · 
𤅳	aanl · 
浯	aanm · 氵五口
𠴸	aanm · 
𠵥	aanm · 
㵄	aanu · 
𭪰	aaof · 
𭱚	aaof · 
𩸓	aap · 
𣸟	aara · 
盞	aas · 
滶	aast · 
澌	aate · 氵其斤
𣂧	aate · 
𭯺	aato · 
㶝	aatu · 
錃	aatw · 
𢛤	aaup · 
𢤵	aaup · 
𭝙	aaup · 
𪭕	aava · 
碆	aavd · 
𫧺	aavt · 
湛	aavv · 氵其乛乛
𫡅	aavv · 
𫑠	aawv · 
婆	aaxc · 氵皮女
㶂	aaxg · 
㵈	aaxx · 
㳲	aay · 
𣸄	abar · 
涰	abb · 
𪵽	abbb · 
𣿫	abbm · 
𧒃	abbm · 
沢	abbo · 
𤀻	abbo · 
𪶽	abbo · 
𭯸	abbo · 
𤅱	abbs · 
漨	abce · 
渱	abcf · 
澅	abcf · 
浲	abcg · 氵夂丰
𤁿	abck · 
潘	abcm · 沐釆田
澢	abcm · 
𤄤	abcw · 
源	abdo · 氵原
𣸚	abdv · 
滍	abfb · 氵屮一虫
