阿	tz_· 阝可 ·a
啊	dt_· 口阝可 ·a
吖	dhg_· 口丷丨 ·a
嗄	dfoh· 口一自夊 ·a
呵	dzk_· 口可 ·a
锕	ztz_· 钅阝可 ·a
腌	vmo_· 月大日乚 ·a
錒	ztzk2· 金阝可 ·a
爱	yw_· 爫冖𠂇又 ·ai
哎	dlb_· 口艹乂 ·ai
唉	dko_· 口厶矢 ·ai
矮	oxb_· 矢禾女 ·ai
挨	uko_· 扌厶矢 ·ai
埃	gko_· 土厶矢 ·ai
艾	lbi_· 艹乂 ·ai
癌	add_· 疒口口口山 ·ai
哀	tdk_· 衣口 ·ai
碍	mof_· 石日一寸 ·ai
隘	tka_· 阝皿 ·ai
嗳	dyw_· 口爫冖𠂇又 ·ai
捱	uxgg· 扌厂土土 ·ai
霭	tso_· ⻗讠曰勹亾 ·ai
蔼	lso_· 艹讠曰勹亾 ·ai
暧	oyw_· 日爫冖𠂇又 ·ai
瑷	nyw_· 王爫冖𠂇又 ·ai
皑	uvvj· 白山己 ·ai
嫒	byw_· 女爫冖𠂇又 ·ai
嗌	dka_· 口皿 ·ai
砹	mlb_· 石艹乂 ·ai
锿	ztdk· 钅衣口 ·ai
乂	bi2· 乂 ·ai
欸	koe_· 厶矢欠 ·ai
毐	gku_· 士毋 ·ai
薆	lywh· 艹爫冖心夂 ·ai
藹	lsof2· 艹言曰勹亾 ·ai
絠	invy· 糹𠂇⺝ ·ai
礙	mvot· 石匕矢龴疋 ·ai
磑	mvzd· 石山豆 ·ai
硙	mvvj· 石山己 ·ai
硋	mkh2· 石亥 ·ai
譪	slof· 言艹曰勹亾 ·ai
譺	svot· 言匕矢龴疋 ·ai
瞹	qywh· 目爫冖心夂 ·ai
皧	uywh· 白爫冖心夂 ·ai
皚	uvzd· 白山豆 ·ai
賹	oka_· 貝皿 ·ai
璦	nywh· 王爫冖心夂 ·ai
焥	cwlz2· 火宀夕⺋ ·ai
躷	zxbn· 身禾女 ·ai
濭	klg_· 氵艹土厶皿 ·ai
溾	kag_· 氵鬼 ·ai
溰	kvz_· 氵山豆 ·ai
醷	yxhx· 酉音心 ·ai
曖	oywh· 日爫冖心夂 ·ai
昹	oik_· 日丶 ·ai
敳	vzhp2· 山豆攵 ·ai
敱	vzhp· 山豆攴 ·ai
鎄	ztdk2· 金衣口 ·ai
鑀	zyw_· 金爫冖心夂 ·ai
閡	akh3· 門亥 ·ai
懝	hvot· 忄匕矢龴疋 ·ai
懓	hyw_· 忄爫冖心夂 ·ai
愛	ywh_· 爫冖心夂 ·ai
阨	txzj· 阝厂⺋ ·ai
阸	tmai· 阝户乙 ·ai
隑	tvz_· 阝山豆 ·ai
靄	tsof2· ⻗言曰勹亾 ·ai
靉	tbyh· ⻗云爫冖心夂 ·ai
嵦	vvz_· 山山豆 ·ai
嬡	bywh· 女爫冖心夂 ·ai
餲	qonf2· 飠曰勹亾 ·ai
娾	bxgg· 女厂土土 ·ai
娭	bko_· 女厶矢 ·ai
馤	xoof· 禾日曰勹亾 ·ai
壒	glg_· 土艹土厶皿 ·ai
騃	nkos2· 馬厶矢 ·ai
塧	gkam2· 土皿 ·ai
堨	gonf2· 土曰勹亾 ·ai
噯	dywh· 口爫冖心夂 ·ai
嘊	dvxg· 口山厂土土 ·ai
啀	dxg_· 口厂土土 ·ai
呝	dma_· 口户乙 ·ai
叆	bywr2· 云爫冖𠂇又 ·ai
鴱	lbx_· 艹乂鳥 ·ai
凒	wvz_· 冫山豆 ·ai
僾	jywh· 亻爫冖心夂 ·ai
伌	jxz_· 亻厂⺋ ·ai
按	uwb_· 扌宀女 ·an
安	wb_· 宀女 ·an
俺	jmo_· 亻大日乚 ·an
暗	ox_· 日音 ·an
案	wbe_· 宀女木 ·an
岸	vxe_· 山厂干 ·an
庵	xmo_· 广大日乚 ·an
厂	xc_· 厂 ·an
氨	vwb_· 气宀女 ·an
胺	vwbn· 月宀女 ·an
谙	sxy_· 讠音 ·an
铵	zwb_· 钅宀女 ·an
鞍	twb_· 革宀女 ·an
黯	pxy_· 音 ·an
桉	ewb_· 木宀女 ·an
埯	gmo_· 土大日乚 ·an
广	xg_· 广 ·an
鹌	moax· 大日乚鸟 ·an
犴	meg2· 犭干 ·an
揞	uxy_· 扌音 ·an
盦	jay_· 亽酉皿 ·an
蓭	lxma· 艹广大日乚 ·an
葊	ljdl· 艹亼口廾 ·an
萻	lxy_· 艹音 ·an
菴	lmoa· 艹大日乚 ·an
荌	lwbn2· 艹宀女 ·an
腤	vxy_· 月音 ·an
裺	tmo_· 衤大日乚 ·an
罯	yxy_· 罒音 ·an
誝	sjad· 言亽口 ·an
諳	sxy2· 言音 ·an
碪	mzha· 石㇗ ·an
盫	jdya· 亼口酉皿 ·an
豻	meg3· 豸干 ·an
貋	moeg2· 豸日干 ·an
痷	amoa2· 疒大日乚 ·an
玵	nzg_· 王甘 ·an
洝	kwb_· 氵宀女 ·an
銨	zwbn2· 金宀女 ·an
晻	omo_· 日大日乚 ·an
錌	zvx_· 金山厂干 ·an
闇	axy3· 門音 ·an
隌	txy2· 阝音 ·an
雸	tzg_· ⻗甘 ·an
廣	xnh2· 广黄 ·an
鞌	wbt_· 宀女革 ·an
韽	jayx· 亽酉音 ·an
頇	ewy4· 干頁 ·an
頞	wbwy2· 宀女頁 ·an
峖	vwbn3· 山宀女 ·an
屽	veg2· 山干 ·an
媕	bjdl· 女亼口廾 ·an
婩	bvx_· 女山厂干 ·an
馣	xom_· 禾日大日乚 ·an
堓	gvx_· 土山厂干 ·an
垾	goeg· 土日干 ·an
垵	gwb_· 土宀女 ·an
啽	djdl· 口亼口廾 ·an
唵	dmo_· 口大日乚 ·an
鮟	wwbn2· 魚宀女 ·an
咹	dwb_· 口宀女 ·an
厈	xeg2· 厂干 ·an
鵪	moax2· 大日乚鳥 ·an
鶕	xxn4· 音鳥 ·an
儑	joi_· 亻日幺幺灬 ·an
侒	jwbn· 亻宀女 ·an
昂	obz_· 日卩 ·ang
盎	mmam· 大皿 ·ang
肮	vzo_· 月亠几 ·ang
醃	ymoa2· 酉大日乚 ·ang
醠	ymma· 酉大皿 ·ang
枊	ebz_· 木卩 ·ang
岇	vbz_· 山卩 ·ang
骯	fzo_· 骨亠几 ·ang
卬	bzj_· 卩 ·ang
奥	tmpm· 丿冂米大 ·ao
澳	ktmm· 氵丿冂米大 ·ao
熬	aphc· 龶攵灬 ·ao
敖	aph_· 龶攵 ·ao
傲	jap_· 亻龶攵 ·ao
凹	mfi_· 一 ·ao
鳌	aphw· 龶攵鱼 ·ao
坳	gis_· 土幺力 ·ao
袄	ttm_· 衤丿大 ·ao
翱	umnz· 白大十羽 ·ao
岙	tmv_· 丿大山 ·ao
鏊	aphz· 龶攵金 ·ao
螯	aphc2· 龶攵虫 ·ao
嗷	dap_· 口龶攵 ·ao
鏖	xzj2· 鹿金 ·ao
聱	aphq· 龶攵耳 ·ao
遨	aphu· 龶攵辶 ·ao
媪	boa_· 女日皿 ·ao
懊	htm_· 忄丿冂米大 ·ao
嚣	ddw_· 口口页口口 ·ao
骜	aphn· 龶攵马 ·ao
拗	uis_· 扌幺力 ·ao
獒	aphm· 龶攵犬 ·ao
廒	xap_· 广龶攵 ·ao
璈	nap_· 王龶攵 ·ao
蔜	laph· 艹龶攵 ·ao
芺	ltmd· 艹丿大 ·ao
蝹	coam2· 虫日皿 ·ao
翺	oww_· 自冫十羽 ·ao
翶	uwwz· 白冫十羽 ·ao
襖	ttmm2· 衤丿冂米大 ·ao
磝	maph2· 石龶攵 ·ao
謷	aphs· 龶攵言 ·ao
謸	sap_· 言龶攵 ·ao
獓	maph· 犭龶攵 ·ao
爊	cxc_· 火鹿灬 ·ao
